"ID_COMMUNE","CODE_COMMUNE","NOM","CODE_POSTAL","PAYS"
561,"2150","Cerny-en-Laonnois","2860",1
562,"2151","Cerny-lès-Bucy","2870",1
563,"2152","Cerseuil","2220",1
564,"2153","Cessières","2320",1
565,"2154","Chacrise","2200",1
566,"2155","Chaillevois","2000",1
567,"2156","Chalandry","2270",1
568,"2157","Chambry","2000",1
569,"2158","Chamouille","2860",1
570,"2159","Champs","2670",1
571,"2160","Chaourse","2340",1
572,"2162","La Chapelle-sur-Chézy","2570",1
573,"2163","Charly-sur-Marne","2310",1
574,"2164","Le Charmel","2850",1
575,"2165","Charmes","2800",1
576,"2166","Chartèves","2400",1
577,"2167","Chassemy","2370",1
578,"2168","Château-Thierry","2400",1
579,"2169","Châtillon-lès-Sons","2270",1
580,"2170","Châtillon-sur-Oise","2240",1
581,"2171","Chaudardes","2160",1
582,"2172","Chaudun","2200",1
583,"2173","Chauny","2300",1
584,"2174","Chavignon","2000",1
585,"2175","Chavigny","2880",1
586,"2176","Chavonne","2370",1
587,"2177","Chérêt","2860",1
588,"2178","Chermizy-Ailles","2860",1
589,"2179","Chéry-Chartreuve","2220",1
590,"2180","Chéry-lès-Pouilly","2000",1
591,"2181","Chéry-lès-Rozoy","2360",1
592,"2182","Chevennes","2250",1
593,"2183","Chevregny","2000",1
594,"2184","Chevresis-Monceau","2270",1
595,"2185","Chézy-en-Orxois","2810",1
596,"2186","Chézy-sur-Marne","2570",1
597,"2187","Chierry","2400",1
598,"2188","Chigny","2120",1
599,"2189","Chivres-en-Laonnois","2350",1
600,"2190","Chivres-Val","2880",1
601,"2191","Chivy-lès-Étouvelles","2000",1
602,"2192","Chouy","2210",1
603,"2193","Cierges","2130",1
604,"2194","Cilly","2250",1
605,"2195","Ciry-Salsogne","2220",1
606,"2196","Clacy-et-Thierret","2000",1
607,"2197","Clairfontaine","2260",1
608,"2198","Clamecy","2880",1
609,"2199","Clastres","2440",1
610,"2200","Clermont-les-Fermes","2340",1
611,"2201","Cœuvres-et-Valsery","2600",1
612,"2203","Coincy","2210",1
613,"2204","Coingt","2360",1
614,"2205","Colligis-Crandelain","2860",1
615,"2206","Colonfay","2120",1
616,"2207","Commenchon","2300",1
617,"2208","Concevreux","2160",1
618,"2209","Condé-en-Brie","2330",1
619,"2210","Condé-sur-Aisne","2370",1
620,"2211","Condé-sur-Suippe","2190",1
621,"2212","Condren","2700",1
622,"2213","Connigis","2330",1
623,"2214","Contescourt","2680",1
624,"2215","Corbeny","2820",1
625,"2216","Corcy","2600",1
626,"2217","Coucy-le-Château-Auffrique","2380",1
627,"2218","Coucy-lès-Eppes","2840",1
628,"2219","Coucy-la-Ville","2380",1
629,"2220","Coulonges-Cohan","2130",1
630,"2221","Coupru","2310",1
631,"2222","Courbes","2800",1
632,"2223","Courboin","2330",1
633,"2224","Courcelles-sur-Vesle","2220",1
634,"2225","Courchamps","2810",1
635,"2226","Courmelles","2200",1
636,"2227","Courmont","2130",1
637,"2228","Courtemont-Varennes","2850",1
638,"2229","Courtrizy-et-Fussigny","2820",1
639,"2230","Couvrelles","2220",1
640,"2231","Couvron-et-Aumencourt","2270",1
641,"2232","Coyolles","2600",1
642,"2233","Cramaille","2130",1
643,"2234","Craonne","2160",1
644,"2235","Craonnelle","2160",1
645,"2236","Crécy-au-Mont","2380",1
646,"2237","Crécy-sur-Serre","2270",1
647,"2238","Crépy","2870",1
648,"2239","Crézancy","2650",1
649,"2240","Croix-Fonsomme","2110",1
650,"2241","La Croix-sur-Ourcq","2210",1
651,"2242","Crouttes-sur-Marne","2310",1
652,"2243","Crouy","2880",1
653,"2244","Crupilly","2120",1
654,"2245","Cuffies","2880",1
655,"2246","Cugny","2480",1
656,"2248","Cuirieux","2350",1
657,"2249","Cuiry-Housse","2220",1
658,"2250","Cuiry-lès-Chaudardes","2160",1
659,"2251","Cuiry-lès-Iviers","2360",1
660,"2252","Cuissy-et-Geny","2160",1
661,"2253","Cuisy-en-Almont","2200",1
662,"2254","Cutry","2600",1
663,"2255","Cys-la-Commune","2220",1
664,"2256","Dagny-Lambercy","2140",1
665,"2257","Dallon","2680",1
666,"2258","Dammard","2470",1
667,"2259","Dampleux","2600",1
668,"2260","Danizy","2800",1
669,"2261","Dercy","2270",1
670,"2262","Deuillet","2700",1
671,"2263","Dhuizel","2220",1
672,"2264","Dizy-le-Gros","2340",1
673,"2265","Dohis","2360",1
674,"2266","Dolignon","2360",1
675,"2267","Dommiers","2600",1
676,"2268","Domptin","2310",1
677,"2269","Dorengt","2450",1
678,"2270","Douchy","2590",1
679,"2271","Dravegny","2130",1
680,"2272","Droizy","2210",1
681,"2273","Dury","2480",1
682,"2274","Ébouleau","2350",1
683,"2275","Effry","2500",1
684,"2276","Englancourt","2260",1
685,"2277","Épagny","2290",1
686,"2278","Éparcy","2500",1
687,"2279","Épaux-Bézu","2400",1
688,"2280","Épieds","2400",1
689,"2281","L'Épine-aux-Bois","2540",1
690,"2282","Eppes","2840",1
691,"2283","Erlon","2250",1
692,"2284","Erloy","2260",1
693,"2286","Esquéhéries","2170",1
694,"2287","Essigny-le-Grand","2690",1
695,"2288","Essigny-le-Petit","2100",1
696,"2289","Essises","2570",1
697,"2290","Essômes-sur-Marne","2400",1
698,"2291","Estrées","2420",1
699,"2292","Étampes-sur-Marne","2400",1
700,"2293","Étaves-et-Bocquiaux","2110",1
701,"2294","Étouvelles","2000",1
702,"2295","Étréaupont","2580",1
703,"2296","Étreillers","2590",1
704,"2297","Étrépilly","2400",1
705,"2298","Étreux","2510",1
706,"2299","Évergnicourt","2190",1
707,"2301","Faucoucourt","2320",1
708,"2302","Faverolles","2600",1
709,"2303","Fayet","2100",1
710,"2304","La Fère","2800",1
711,"2305","Fère-en-Tardenois","2130",1
712,"2306","La Ferté-Chevresis","2270",1
713,"2307","La Ferté-Milon","2460",1
714,"2308","Fesmy-le-Sart","2450",1
715,"2309","Festieux","2840",1
716,"2310","Fieulaine","2110",1
717,"2311","Filain","2000",1
